cluster_uid,target,sources,n_sources,n_percent,silhouette_score,method
3053aa175934,ACTB,CSNK2B;JUNB;ENO1;HADHB;RPL35;HNRNPA1;SNRNP70;NR4A1;RPL6;GPD1;SF1;RPS4X;BHLHE40,13,100.0,0.0,exp02_muscle_skeletal-coregtor-default
cfc1e46b2e3b,CARM1,SF1;KLF10;TAF7;GADD45A;MEF2D;TRIP10;YBX1;ENO1;ATF4;UBXN1,10,100.0,0.0,exp02_muscle_skeletal-coregtor-default
5428bb4b1382,CDKN1A,GADD45A;RPS4X;ENO1;SF1;CSNK2B;SNRNP70;HNRNPA1;CYB5R1,8,100.0,0.0,exp02_muscle_skeletal-coregtor-default
b21b7f798b52,CRYAB,NR4A1;TPI1;SMPX;PDLIM5;CYB5R1;CFL2;BHLHE40;SOD1;CSNK2B;RPL6;YWHAE;ATF4;GOT1,13,100.0,0.0,exp02_muscle_skeletal-coregtor-default
0585b1497707,DUSP1,JUNB;RPS4X;HNRNPA1;ESRRA;CEBPD;SNRNP70;CEBPB;NR4A1;RPS10;KLF9;HADHB;RPL6;SF1;CSNK2B,14,100.0,0.0,exp02_muscle_skeletal-coregtor-default
fef04eab36a9,GSTP1,UBXN1;DRAP1;PSMA6;CSNK2B;RPS10;RPL35,6,100.0,0.0,exp02_muscle_skeletal-coregtor-default
1c75a6453be5,HBB,CEBPD;ENO1;NFE2L1;ESRRA;GPD1;UGP2;HNRNPA1;SNRNP70;STUB1;PDLIM5;NFIX;YWHAE;CFL2;RPL35;NFIC;BHLHE40;KLF9;CSNK2B;JUNB;PSMA6;SUCLG1;RPS4X;NR4A1;DUSP26,24,100.0,0.0,exp02_muscle_skeletal-coregtor-default
cca16016ce38,HLA-E,SNRNP70;RPL35;RPS4X;HNRNPA1;ENO1;CEBPD,6,85.7143,0.7562,exp02_muscle_skeletal-coregtor-default
96d390110515,HMOX1,PKM;GADD45A;ENO1;SNRNP70;CEBPB;NFIX;PRDX5;HNRNPA1;PDLIM5;UGP2;SMPX;NFIC;GPD1;CEBPD;CFL2;MEF2D;STUB1;RPL6;MYF6;CD59;BHLHE40;TAF7,22,100.0,0.0,exp02_muscle_skeletal-coregtor-default
882ae3dd9754,HSP90AA1,ESRRA;SF1;YBX1;YWHAE;TAF7;RPL6;SOD1;ATF4;CYB5R1;CD59;UGP2;MYF6;TRIP10;DRAP1,14,93.3333,0.5378,exp02_muscle_skeletal-coregtor-default
53ffb174a7b1,MAT2A,ENO1;ATF4;GADD45A;CEBPB;SF1;BHLHE40;JUNB;NFIX;KLF10,9,100.0,0.0,exp02_muscle_skeletal-coregtor-default
4242a51f32a0,MCL1,RPL6;SF1;YWHAE;HNRNPA1;TAF7;RPS4X;SNRNP70;BCL6;CSNK2B;CEBPD;MEF2D,11,100.0,0.0,exp02_muscle_skeletal-coregtor-default
3a2a9bdd5f84,NFKBIA,KLF9;CEBPB;BCL6;CEBPD;UBXN1,5,100.0,0.0,exp02_muscle_skeletal-coregtor-default
6d25e4559acd,PDK4,KLF9;CEBPB,2,100.0,0.0,exp02_muscle_skeletal-coregtor-default
e7186862e0e5,PDLIM7,PRDX5;PKM;GPD1;TPI1;UBXN1;HADHB;RPS10;NR4A1;ZNF358;NFIX,10,100.0,0.0,exp02_muscle_skeletal-coregtor-default
3ca608cbf5fe,PER1,CEBPB;KLF9;MEF2D;SNRNP70;RPL35;CEBPD;RPS4X;CSNK2B;SF1;HNRNPA1,10,100.0,0.0,exp02_muscle_skeletal-coregtor-default
a9962d78c00f,PRKACA,NFIC;TRIP10;ESRRA;YWHAE;YBX1;RPL6;MEF2D;ENO1;NFIX;TAF7;HADHB;SF1;SUCLG1;CSNK2B;PSMA6,15,100.0,0.0,exp02_muscle_skeletal-coregtor-default
1671883c6bab,RHOA,CSNK2B;RPS4X;HNRNPA1;RPL35;YWHAE,5,100.0,0.0,exp02_muscle_skeletal-coregtor-default
140dbf4af0cc,SOD2,PSMA6;TPI1;NFIC;UBXN1;NFE2L1,5,100.0,0.0,exp02_muscle_skeletal-coregtor-default
c6a0f3b20e6e,SPARC,TRIP10;GTF3A,2,11.7647,0.3976,exp02_muscle_skeletal-coregtor-default
c63484f0ae32,SPARC,ESRRA;JUNB;CSNK2B;HNRNPA1;KLF9;HADHB;SMPX;SNRNP70;GPD1;RPS4X;NR4A1;BHLHE40;NFIX;TPI1;CFL2,15,88.2353,0.3113,exp02_muscle_skeletal-coregtor-default
2bab33c3916b,SQSTM1,PSMA6;CSNK2B;MEF2D;NFE2L1;YWHAE;UBXN1;CYB5R1,7,100.0,0.0,exp02_muscle_skeletal-coregtor-default
0e9f2eff5def,TAGLN,RPS4X;JUNB;CFL2;NFE2L1;GOT1;KLF9;RPS10;CSNK2B;NFIC;HNRNPA1;RPL6;PSMA6;RPL35;SNRNP70;YBX1;UGP2;GPD1;NFIX;SUCLG1;NR4A1;CEBPD,21,100.0,0.0,exp02_muscle_skeletal-coregtor-default
2200d5d71069,TIMP3,KLF9;HNRNPA1;RPS4X;HADHB;JUNB;SF1;SNRNP70;NR4A1;SUCLG1;CSNK2B;RPL35,11,100.0,0.0,exp02_muscle_skeletal-coregtor-default
772716aa6c1b,VEGFA,BHLHE40;GOT1;KLF10;NR4A1,4,100.0,0.0,exp02_muscle_skeletal-coregtor-default
2476d3d7ccaf,VIM,RPS4X;RPL35;RPS10;CSNK2B;SNRNP70;HNRNPA1;GPD1;GOT1;SUCLG1,9,100.0,0.0,exp02_muscle_skeletal-coregtor-default
